"table","fieldName","description","units"
"SWS_30_minute","VSWCExpUncert","Expanded uncertainty for volumetric soil water content","cubicCentimetersPerCubicCentimeter"
"SWS_30_minute","VSWCStdErMean","Standard error of the mean for volumetric soil water content","cubicCentimetersPerCubicCentimeter"
"SWS_30_minute","VSWCRangeFailQM","Volumetric soil water content quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCRangePassQM","Volumetric soil water content quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCRangeNAQM","Volumetric soil water content quality metric that summarizes when the range test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCPersistenceFailQM","Volumetric soil water content quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCPersistencePassQM","Volumetric soil water content quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCPersistenceNAQM","Volumetric soil water content quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCStepFailQM","Volumetric soil water content quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCStepPassQM","Volumetric soil water content quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCStepNAQM","Volumetric soil water content quality metric that summarizes when the step test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCNullFailQM","Volumetric soil water content quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCNullPassQM","Volumetric soil water content quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCNullNAQM","Volumetric soil water content quality metric that summarizes when the null test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCGapFailQM","Volumetric soil water content quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCGapPassQM","Volumetric soil water content quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCGapNAQM","Volumetric soil water content quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCSpikeFailQM","Volumetric soil water content quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCSpikePassQM","Volumetric soil water content quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCSpikeNAQM","Volumetric soil water content quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCValidCalFailQM","Volumetric soil water content quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCValidCalPassQM","Volumetric soil water content quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCValidCalNAQM","Volumetric soil water content quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSWCAlphaQM","Volumetric soil water content quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent"
"SWS_30_minute","VSWCBetaQM","Volumetric soil water content quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent"
"SWS_30_minute","VSWCFinalQF","Volumetric soil water content quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",NA
"SWS_30_minute","VSWCFinalQFSciRvw","Volumetric soil water content quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",NA
"SWS_30_minute","VSICMean","Arithmetic mean of volumetric soil ion content","dimensionless"
"SWS_30_minute","VSICMinimum","Minimum volumetric soil ion content","dimensionless"
"SWS_30_minute","VSICMaximum","Maximum volumetric soil ion content","dimensionless"
"SWS_30_minute","VSICVariance","Variance in volumetric soil ion content","dimensionless"
"SWS_30_minute","VSICNumPts","Number of points used to calculate the arithmetic mean of volumetric soil ion content",NA
"SWS_30_minute","VSICExpUncert","Expanded uncertainty for volumetric soil ion content","dimensionless"
"SWS_30_minute","VSICStdErMean","Standard error of the mean for volumetric soil ion content","dimensionless"
"SWS_30_minute","VSICRangeFailQM","Volumetric soil ion content quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICRangePassQM","Volumetric soil ion content quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICRangeNAQM","Volumetric soil ion content quality metric that summarizes when the range test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSICPersistenceFailQM","Volumetric soil ion content quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICPersistencePassQM","Volumetric soil ion content quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICPersistenceNAQM","Volumetric soil ion content quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSICStepFailQM","Volumetric soil ion content quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICStepPassQM","Volumetric soil ion content quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICStepNAQM","Volumetric soil ion content quality metric that summarizes when the step test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSICNullFailQM","Volumetric soil ion content quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICNullPassQM","Volumetric soil ion content quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICNullNAQM","Volumetric soil ion content quality metric that summarizes when the null test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSICGapFailQM","Volumetric soil ion content quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICGapPassQM","Volumetric soil ion content quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","percent"
