uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
ab298e1d-3f97-4bcd-ba31-8967e901d30c,DELA_003.basePlot.cfc,D08,DELA,DELA_003,distributed,Nc+HNMhlqfspUx960THudtz59VMWEuBlKGLd8kVeG1Y=,A00000081999,Nc+HNMhlqfspUx960THudtz59VMWEuBl5xt1ZTIijqo=,A00000082818,2019-05-06T15:43:00Z,2019-08-07,1,0.201,25,0.269,1.187,0.638,0.234,0.243,78.4,92,55.7,14.3,18.3,OK,OK,OK,OK,OK,OK,OK,sample value outlier,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
35517b16-a573-4196-9d7e-1cf5dbf5f802,DELA_002.basePlot.cfc,D08,DELA,DELA_002,distributed,Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZjwbHMP1z2LY=,A00000082000,Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZeTa3JmuBqKo=,A00000082863,2019-05-06T16:50:00Z,2019-08-07,1,0.206,25,0.188,0.836,0.478,0.229,0.174,556.4,75.7,7.7,21.8,21.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
c09fa0a4-c4a1-4bf3-9520-29d82f898647,DELA_002.basePlot.cfc,D08,DELA,DELA_002,distributed,Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/gYS5R1fCE64=,A00000082001,Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/+LGuMembUq8=,A00000082823,2019-05-06T17:36:00Z,2019-08-07,1,0.2,25,0.188,0.817,0.422,0.234,0.167,505.7,121.3,7.3,16.1,19.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
55f42d81-3833-478e-bcb6-375ff6e94ab3,DELA_056.basePlot.cfc,D08,DELA,DELA_056,tower,Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFY54prSAeKL2E=,A00000082002,Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFYoTPZU/Kg/p6XIK7CAzyXxw==,A00000082827,2019-05-06T19:42:00Z,2019-08-07,1,0.196,25,0.185,0.861,1.847,0.367,0.183,838.6,60,9.4,27.8,21.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
29de60d7-9d94-40c8-a16f-fd00042e115d,DELA_056.basePlot.cfc,D08,DELA,DELA_056,tower,Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydcO5epdikKXE=,A00000082003,Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydLuB7l6dOuyvehOKe53dO0A==,A00000082832,2019-05-06T20:11:00Z,2019-08-07,1,0.197,25,0.15,0.898,1.982,0.283,0.145,1691,42.6,8.9,37.8,14.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
c26efac5-f56d-4805-8810-cbd3975eb46c,DELA_056.basePlot.cfc,D08,DELA,DELA_056,tower,Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAk0+6iEtasRg=,A00000082004,Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAHSMqcBlnJoAHZTF8ZhJvUg==,A00000082805,2019-05-06T20:51:00Z,2019-08-07,1,0.196,25,0.177,1.165,2.068,0.392,0.156,1316,38.9,8.7,36,24.2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
2cca3e12-f3b0-49da-97c8-907ab1a4c766,DELA_042.basePlot.cfc,D08,DELA,DELA_042,tower,Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2BYpY2CBxRPac=,A00000082005,Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2Bw7ngUAE1E0MyP4uzqFDlqg==,A00000082836,2019-05-07T14:22:00Z,2019-08-07,1,0.197,25,0.174,0.884,1.689,0.397,0.182,1938,42.3,9.2,24.9,114.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
e34077f8-1238-421b-8490-4f329c6a3842,DELA_042.basePlot.cfc,D08,DELA,DELA_042,tower,Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkqDkuhUiziMOI=,A00000082006,Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkq9D/fw+o+fpc=,NA,2019-05-07T15:28:00Z,2019-08-07,1,0.199,25,0.202,0.846,0.8,0.227,0.164,830.3,56.8,9.1,17,19.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
d6b9cc1c-8cb1-4e54-87f2-80c1a6695331,DELA_041.basePlot.cfc,D08,DELA,DELA_041,tower,Nc+HNMhlqfuElt3OuXY/n0/UjYMXg263MMHShfxk7P0=,A00000082007,Nc+HNMhlqfuElt3OuXY/n0/UjYMXg263kkf1pahQ6xU=,A00000082834,2019-05-07T16:20:00Z,2019-08-07,1,0.197,25,0.178,0.528,0.491,0.21,0.13,472.3,53.1,3.7,22.9,20.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
62a5660d-2009-4842-a0d3-5edb77a9fed5,DELA_041.basePlot.cfc,D08,DELA,DELA_041,tower,Nc+HNMhlqfuElt3OuXY/n7m4j/+0Wu7sEpp1g657JWs=,A00000082008,Nc+HNMhlqfuElt3OuXY/n7m4j/+0Wu7s44vITNZjEKo=,A00000082874,2019-05-07T16:43:00Z,2019-08-07,1,0.201,25,0.16,0.694,0.414,0.241,0.125,685.1,45.5,7.1,30,38.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
