table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName,dpID,site,year
ntr_externalSummary,instrument,Type of instrument used for the analysis,string,NA,expanded,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,method,Published method used for analysis,string,NA,expanded,asIs,Y,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,dataQF,Data quality flag,string,NA,expanded,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,siteID,NEON site code,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,plotID,Plot identifier (NEON site code_XXX),string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,startDate,The start date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,collectDate,Date of the collection event,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,samplingProtocolVersion,The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX,string,NA,basic,LOV,N,sls.samplingProtocolVersion,DP1.10086.001,HARV,2019
ntr_internalLab,sampleID,Identifier for sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
ntr_internalLab,sampleCode,Barcode of a sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
ntr_internalLab,kclSampleID,Identifier for a potassium chloride (KCl) extract sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,kclSampleCode,Barcode of a potassium chloride (KCl) extract sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,incubationPairID,Identifier for a linked pair of soil samples used to measure net nitrogen transformation rates,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,nTransBoutType,Category of bout in relation to nitrogen transformation sample collection,string,NA,basic,LOV,N,sls.nTransBout,DP1.10086.001,HARV,2019
ntr_internalLab,incubationLength,Length of soil incubation,real,day,basic,*.##(round),N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,extractionStartDate,The start date-time for an extraction event,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,kclReferenceID,Identifier for a potassium chloride (KCl) blank reference,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,soilFreshMass,Total fresh mass of soil,real,gram,basic,*.##(round),N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,kclVolume,Volume potassium chloride (KCl) used to extract soil sample,real,milliliter,basic,*.#(round),N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,extractionEndDate,The end date-time for an extraction event,dateTime,NA,basic,yyyy-MM-dd'T'HH'Z'(round),N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,sampleCondition,Condition of a sample,string,NA,basic,LOV,N,ntr.sampleCondition,DP1.10086.001,HARV,2019
ntr_internalLab,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,processedBy,An identifier for the technician who processed the sample(s),string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,recordedBy,An identifier for the technician who recorded the data,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLab,dataQF,Data quality flag,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,siteID,NEON site code,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,extractionStartDate,The start date-time for an extraction event,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,extractionEndDate,The end date-time for an extraction event,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,kclReferenceID,Identifier for a potassium chloride (KCl) blank reference,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,kclBlank1ID,Identifier for the first potassium chloride (KCl) blank reference sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,kclBlank1Code,Barcode of the first potassium chloride (KCl) blank reference sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,kclBlank2ID,Identifier for the second potassium chloride (KCl) blank reference sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,kclBlank2Code,Barcode of the second potassium chloride (KCl) blank reference sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,kclBlank3ID,Identifier for the third potassium chloride (KCl) blank reference sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_internalLabBlanks,kclBlank3Code,Barcode of the third potassium chloride (KCl) blank reference sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
