dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,horizon,sampleTopDepth,sampleBottomDepth,sampleExtent,n_raw_records,coreCoordinateX_mean_2018_2024,coreCoordinateY_mean_2018_2024,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,standingWaterDepth_mean_2018_2024,soilTemp_mean_2018_2024,litterDepth_mean_2018_2024,soilCoreCount_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,coreCoordinateX_mean_2018_2024_unit,coreCoordinateY_mean_2018_2024_unit,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,standingWaterDepth_mean_2018_2024_unit,soilTemp_mean_2018_2024_unit,litterDepth_mean_2018_2024_unit,soilCoreCount_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,4.8,13.6,obstruction,1,10,39.5,40.042345,-105.558975,20.1,3213.5,0.11,0,5,1.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,5,12,obstruction,1,6.5,28.5,40.042345,-105.558975,20.1,3213.5,0.11,0,9,4.2,NA,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,5,18.8,obstruction,1,1,26.5,40.042345,-105.558975,20.1,3213.5,0.11,0,9.4,2,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,7,15.5,obstruction,1,3.5,13,40.042345,-105.558975,20.1,3213.5,0.11,0,9.1,1,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,8,29.5,maximum,1,30,32,40.042345,-105.558975,20.1,3213.5,0.11,0,10.5,2,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,8.3,21.8,obstruction,1,30,32,40.042345,-105.558975,20.1,3213.5,0.11,0,7.6,3,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,9,17,obstruction,1,3.5,13,40.042345,-105.558975,20.1,3213.5,0.11,0,9.4,2,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,10,14,obstruction,1,31.5,21,40.042345,-105.558975,20.1,3213.5,0.11,0,6,2.5,1,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,12,22,obstruction,1,1,26.5,40.042345,-105.558975,20.1,3213.5,0.11,0,14.3,1.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,12,23.1,obstruction,1,6,6,40.042345,-105.558975,20.1,3213.5,0.11,0,13.5,2.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,NA,NA,NA,1,28,9,40.042345,-105.558975,20.1,3213.5,0.11,NA,NA,NA,NA,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,1.5,entire,1,35,24,40.042345,-105.558975,20.1,3213.5,0.11,0,7.6,1,3,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,2.2,entire,1,33,12,40.042345,-105.558975,20.1,3213.5,0.11,0,5.7,2,3,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,2.4,obstruction,1,29,33.5,40.042345,-105.558975,20.1,3213.5,0.11,0,7.9,1,1,2018,2018,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,2.6,entire,1,7.5,4,40.042345,-105.558975,20.1,3213.5,0.11,0,7.1,0.5,2,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,2.7,entire,2,10.75,14.75,40.042345,-105.558975,20.1,3213.5,0.11,0,14.6,3.25,2.5,2019.5,2019.5,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,2.8,entire,1,9,22.5,40.042345,-105.558975,20.1,3213.5,0.11,0,5.7,2,2,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3,entire,3,11.5,13.166666666666666,40.042345,-105.558975,20.1,3213.5,0.11,0,10.700000000000001,2,2.5,2022.3333333333333,2022.3333333333333,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.1,entire,1,25,36.5,40.042345,-105.558975,20.1,3213.5,0.11,0,11.1,2,2,2023,2023,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.2,entire,1,6.5,28.5,40.042345,-105.558975,20.1,3213.5,0.11,0,5.4,3,2,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.3,entire,1,22.5,2,40.042345,-105.558975,20.1,3213.5,0.11,0,7.7,1.7,2,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
