uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
eba6a74e-790a-4767-8d55-cac593f977ec,DSNY_042.basePlot.cfc,D03,DSNY,DSNY_042,tower,k7LBIL3J5m5TYFuuQ6tyYaPq4P1yhZUsdENLmFM1e8k=,A00000177481,k7LBIL3J5m5TYFuuQ6tyYaPq4P1yhZUs5s8/n7RQYkv+ei28v2EUOQ==,A00000177637,2023-04-20T14:41:00Z,2023-09-14,1,0.203,25,0.06,0.18,1.134,0.344,0.187,20.2,51.4,3.3,24.9,21.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
20d2e0b6-eab3-46c1-8a30-bcadcb17eff7,DSNY_042.basePlot.cfc,D03,DSNY,DSNY_042,tower,k7LBIL3J5m5zyWVT4RSBbd8E0IY/Wy14o9jibnmp25Y=,A00000177498,k7LBIL3J5m5zyWVT4RSBbd8E0IY/Wy14RYgDgMKqfXdxIgF5MbTSLg==,A00000177638,2023-04-20T14:41:00Z,2023-09-14,1,0.197,25,0.064,0.197,0.228,0.164,0.145,24.5,28.4,3.9,4.7,10.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
b145d129-c6e2-47fc-9f21-a45ce9ec7d35,DSNY_042.basePlot.cfc,D03,DSNY,DSNY_042,tower,k7LBIL3J5m56eoH6wCHMkW0ZYFYv14O8ZCKjYTwo8PM=,A00000177514,k7LBIL3J5m56eoH6wCHMkW0ZYFYv14O82UzURz1eRns=,A00000177593,2023-04-20T14:41:00Z,2023-09-14,1,0.196,25,0.047,0.18,0.602,0.17,0.161,44.5,177.3,5.1,7.5,27.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
e3a7e342-1a32-4034-add1-4851a73d5223,DSNY_008.basePlot.cfc,D03,DSNY,DSNY_008,distributed,k7LBIL3J5m7CNYyWqg9YOKaZSUR+BtAyar9elDvdz+M=,A00000177493,k7LBIL3J5m7CNYyWqg9YOKaZSUR+BtAyeQgiJT8b1rhAiUoDEqx3vw==,A00000177573,2023-04-25T13:00:00Z,2023-09-14,1,0.2,25,0.081,0.229,0.193,0.262,0.131,25.2,19.3,3.9,6.5,14.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
42a7f723-20d4-43d4-ae74-220d66c3ba5e,DSNY_008.basePlot.cfc,D03,DSNY,DSNY_008,distributed,k7LBIL3J5m7EGplztKWp20wv/2u9JJj57E+hfiQE6cY=,A00000177540,k7LBIL3J5m7EGplztKWp20wv/2u9JJj5JPJWaumq38w=,A00000177590,2023-04-25T13:00:00Z,2023-09-14,1,0.197,25,0.071,0.218,0.492,0.151,0.12,95.8,22.3,1.9,14.4,16.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
456edb51-32ca-4344-aef8-02d501803ec0,DSNY_014.basePlot.cfc,D03,DSNY,DSNY_014,distributed,k7LBIL3J5m7/nR2+mM2CqHB9wJlcBTpb18jHU9IX55o=,A00000177495,k7LBIL3J5m7/nR2+mM2CqHB9wJlcBTpbKMatHkmV2LTWN/AXuHSK2A==,A00000177586,2023-04-25T14:06:00Z,2023-09-14,1,0.199,25,0.063,0.527,1.062,0.155,0.077,67.6,17.8,4.5,26.9,12.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
7f29487f-0d4e-4637-a62f-959408861926,DSNY_014.basePlot.cfc,D03,DSNY,DSNY_014,distributed,k7LBIL3J5m4PHduBb22MCK2F/8yt5rit+jKlYezB+c0=,A00000177559,k7LBIL3J5m4PHduBb22MCK2F/8yt5ritDIE2P4F0H+A2bCbrMnzkmQ==,A00000177646,2023-04-25T14:06:00Z,2023-09-14,1,0.195,25,0.051,0.138,0.421,0.254,0.083,63.4,35.1,2.3,8.3,19.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
e3f8d821-f0e7-482e-97d6-f0b5f9c0a8a7,DSNY_014.basePlot.cfc,D03,DSNY,DSNY_014,distributed,k7LBIL3J5m7F2Y2B+2TswHKSRR0M2bzm5WBV6R/9ok0=,A00000177479,k7LBIL3J5m7F2Y2B+2TswHKSRR0M2bzmyD78rVmkvxUuYljyZAlsaA==,A00000177565,2023-04-25T14:06:00Z,2023-09-14,1,0.199,25,0.082,0.375,0.745,0.294,0.112,80.6,36.4,7.1,27.7,20.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
b6d9e48b-b13c-4335-982e-a47af4ad2cd5,DSNY_014.basePlot.cfc,D03,DSNY,DSNY_014,distributed,k7LBIL3J5m60JoJuke85waNJpj4OOyJ/TZUQCQzeGTw=,A00000177543,k7LBIL3J5m60JoJuke85waNJpj4OOyJ/Ekh/Jlt3I0ETN3uGkCMAwQ==,A00000177650,2023-04-25T14:06:00Z,2023-09-14,1,0.203,25,0.032,0.248,1.12,0.211,0.128,222.5,15,3.6,10.5,17.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
f6540bde-649f-4b6e-a4df-9e9f443f30c5,DSNY_020.basePlot.cfc,D03,DSNY,DSNY_020,distributed,k7LBIL3J5m7/7GucbKO+AkiQzIlus3fGSqmobdsdcfM=,A00000177513,k7LBIL3J5m7/7GucbKO+AkiQzIlus3fGOyy0FcC5tGo=,A00000177569,2023-04-25T15:49:00Z,2023-09-14,1,0.195,25,0.161,0.792,0.468,0.305,0.158,29.7,33.9,7.7,18.1,14,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
