siteID,years_available,years_included,soil_moisture_mean_2018_2024,soil_moisture_mean_2018_2024_unit,soil_moisture_sd_across_years_2018_2024,soil_moisture_sd_across_years_2018_2024_unit,soil_moisture_min_2018_2024,soil_moisture_min_2018_2024_unit,soil_moisture_max_2018_2024,soil_moisture_max_2018_2024_unit,total_obs_2018_2024,total_obs_2018_2024_unit,first_date_2018_2024,first_date_2018_2024_unit,last_date_2018_2024,last_date_2018_2024_unit,source_dpID,source_table,source_variable
ONAQ,7,2018;2019;2020;2021;2022;2023;2024,0.14480845,cubicCentimetersPerCubicCentimeter,0.024109188,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5803,cubicCentimetersPerCubicCentimeter,1597059,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
ORNL,7,2018;2019;2020;2021;2022;2023;2024,0.159895134,cubicCentimetersPerCubicCentimeter,0.019470027,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.9812,cubicCentimetersPerCubicCentimeter,2068408,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
OSBS,7,2018;2019;2020;2021;2022;2023;2024,0.077154518,cubicCentimetersPerCubicCentimeter,0.07185116,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6348,cubicCentimetersPerCubicCentimeter,2705537,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
RMNP,7,2018;2019;2020;2021;2022;2023;2024,0.125107892,cubicCentimetersPerCubicCentimeter,0.048085283,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6276,cubicCentimetersPerCubicCentimeter,1475467,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
SCBI,7,2018;2019;2020;2021;2022;2023;2024,0.26356799,cubicCentimetersPerCubicCentimeter,0.02604383,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.9232,cubicCentimetersPerCubicCentimeter,1862342,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
SERC,7,2018;2019;2020;2021;2022;2023;2024,0.214873673,cubicCentimetersPerCubicCentimeter,0.023142148,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.7896,cubicCentimetersPerCubicCentimeter,1830988,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
SJER,7,2018;2019;2020;2021;2022;2023;2024,0.082023737,cubicCentimetersPerCubicCentimeter,0.030466101,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.4577,cubicCentimetersPerCubicCentimeter,1636364,count,10/2/18 18:00,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
SOAP,7,2018;2019;2020;2021;2022;2023;2024,0.157897704,cubicCentimetersPerCubicCentimeter,0.047008192,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.9999,cubicCentimetersPerCubicCentimeter,1945280,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
SRER,7,2018;2019;2020;2021;2022;2023;2024,0.063543647,cubicCentimetersPerCubicCentimeter,0.008322671,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.3998,cubicCentimetersPerCubicCentimeter,1936163,count,1/8/18 19:00,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
STEI,7,2018;2019;2020;2021;2022;2023;2024,0.20261367,cubicCentimetersPerCubicCentimeter,0.032625951,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.961,cubicCentimetersPerCubicCentimeter,1575094,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
STER,7,2018;2019;2020;2021;2022;2023;2024,0.177897414,cubicCentimetersPerCubicCentimeter,0.033453572,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6745,cubicCentimetersPerCubicCentimeter,2303550,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
TALL,7,2018;2019;2020;2021;2022;2023;2024,0.102045496,cubicCentimetersPerCubicCentimeter,0.025935459,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6643,cubicCentimetersPerCubicCentimeter,2197635,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
TEAK,7,2018;2019;2020;2021;2022;2023;2024,0.124092605,cubicCentimetersPerCubicCentimeter,0.035887382,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.4,cubicCentimetersPerCubicCentimeter,1654271,count,6/18/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
TOOL,7,2018;2019;2020;2021;2022;2023;2024,0.221359003,cubicCentimetersPerCubicCentimeter,0.020894854,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6096,cubicCentimetersPerCubicCentimeter,324860,count,4/4/18 0:30,datetime,12/31/24 23:00,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
TREE,7,2018;2019;2020;2021;2022;2023;2024,0.123541901,cubicCentimetersPerCubicCentimeter,0.019879081,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.713,cubicCentimetersPerCubicCentimeter,2097597,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
UKFS,7,2018;2019;2020;2021;2022;2023;2024,0.239216298,cubicCentimetersPerCubicCentimeter,0.048464986,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6697,cubicCentimetersPerCubicCentimeter,2130806,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
UNDE,7,2018;2019;2020;2021;2022;2023;2024,0.146263749,cubicCentimetersPerCubicCentimeter,0.013000552,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.8578,cubicCentimetersPerCubicCentimeter,1868028,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
WOOD,7,2018;2019;2020;2021;2022;2023;2024,0.114268711,cubicCentimetersPerCubicCentimeter,0.038027822,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5201,cubicCentimetersPerCubicCentimeter,1739732,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
WREF,7,2018;2019;2020;2021;2022;2023;2024,0.159768728,cubicCentimetersPerCubicCentimeter,0.008964469,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.7272,cubicCentimetersPerCubicCentimeter,1585142,count,5/12/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
YELL,7,2018;2019;2020;2021;2022;2023;2024,0.092478866,cubicCentimetersPerCubicCentimeter,0.02547197,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.3999,cubicCentimetersPerCubicCentimeter,715046,count,10/1/18 19:30,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
