siteID,horizontalPosition,verticalPosition,table,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF,table,site,height_m,source_file
BLAN,000,030,PARPAR_1min,199.9587288,174.4923868,228.338045,3174.493111,59.98129904,9.404460973,1.867367034,0.029632708,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BLAN,3,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
BLAN,000,040,PARPAR_1min,357.6726258,336.8332656,378.4980542,3105.106936,59.97776465,13.11927668,1.643734545,0.011698008,20.14922254,19.02214417,21.30507713,5.499701593,59.98639565,1.210864842,0.083060785,0.06100302,PARPAR_1min,BLAN,4,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
BLAN,000,010,PARPAR_30min,37.54520655,18.3298566,92.99509826,2375.224247,1797.059177,3.458675541,0.367703594,0.021476991,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BLAN,1,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
BLAN,000,020,PARPAR_30min,57.86096702,29.22946876,132.6321368,4119.285983,1795.594331,4.604327506,0.504574072,0.065807913,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BLAN,2,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
BLAN,000,030,PARPAR_30min,200.0321907,113.5813975,315.5216861,12652.22109,1796.792308,10.5022488,1.114366108,0.031531091,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BLAN,3,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
BLAN,000,040,PARPAR_30min,358.0102691,242.8643254,473.3270407,17910.19202,1796.540282,14.9741541,1.413482788,0.013622735,20.16423125,14.94590355,25.77032867,30.27786743,1797.310451,1.278672572,0.061143792,0.062426672,PARPAR_30min,BLAN,4,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
BONA,000,010,PARPAR_1min,134.8320101,126.4875373,143.8256302,616.5069358,59.99141176,5.212549308,0.633763155,0.082415102,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BONA,1,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,020,PARPAR_1min,180.0154768,171.1774908,189.4073946,813.0934758,59.99125284,7.07849668,0.688850232,0.046432994,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BONA,2,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,030,PARPAR_1min,201.1544754,193.8791769,208.7959495,675.7769351,59.99249618,7.101021282,0.594150388,0.074058955807587007,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BONA,3,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,040,PARPAR_1min,204.332789,196.9742186,212.0407588,661.3747046,59.99223821,7.351159692,0.599498021,0.064828847,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BONA,4,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,050,PARPAR_1min,215.6209895,208.0581468,223.6042031,641.6513212,59.99270654,7.371427902,0.59661686,0.183656249,34.93992166,33.85584528,36.14372712,12.05779572,59.9923071,1.521675085,0.076616797,0.083208676,PARPAR_1min,BONA,5,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,010,PARPAR_30min,134.9567738,84.93985914,201.5195034,7524.400849,1796.895457,6.727985275,0.770121882,0.083944401,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BONA,1,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,020,PARPAR_30min,180.2148722,127.3221625,243.1762825,7102.13292,1796.719287,8.503974881,0.745514347,0.04822546,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BONA,2,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,030,PARPAR_30min,201.3794362,150.8481396,260.1720818,6488.410622,1796.945665,8.418694977,0.705013364,0.075625733,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BONA,3,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,040,PARPAR_30min,204.5111576,153.3111047,263.6974198,6384.224664,1796.625586,8.695957243,0.712488755,0.066581932,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BONA,4,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
BONA,000,050,PARPAR_30min,215.809684,163.0114766,280.4883508,6199.868434,1797.270844,8.786693229,0.701600216,0.184843893,34.9365252,27.70617629,44.54594814,142.4225721,1797.042313,1.714023407,0.088179838,0.084677682,PARPAR_30min,BONA,5,DP1.00024.001.BONA.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,010,PARPAR_1min,73.86039373,60.26301536,90.99335107,888.9431322,59.99430307,4.177454604,1.022712407,0.043044964,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,CLBJ,1,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
